plot_id;red_edge;green;blue;red;nir;timepoint
457;0.138089398;0.058172948;0.02479399;0.044417543;0.24627541;1.3
458;0.149706985;0.062449413;0.025800694;0.044079526;0.271831949;1.3
459;0.138618782;0.05688924;0.022830769;0.038637411;0.255089254;1.3
460;0.141382915;0.055946203;0.021224373;0.034343331;0.275626981;1.3
461;0.135289274;0.055519089;0.02374942;0.040731836;0.264141786;1.3
462;0.134104541;0.050931137;0.018998757;0.031849032;0.289618315;1.3
463;0.155126516;0.059378489;0.02106813;0.031927049;0.31238563;1.3
464;0.13986326;0.052534899;0.019451779;0.031760528;0.298518157;1.3
465;0.161041503;0.060022872;0.01973948;0.030391315;0.337035895;1.3
466;0.144820313;0.054570568;0.018190717;0.029444685;0.309668911;1.3
467;0.142774619;0.054724258;0.018809369;0.035054953;0.280977517;1.3
468;0.135365717;0.052540941;0.019085827;0.034421199;0.273221107;1.3
469;0.136852632;0.052442991;0.018765829;0.032993499;0.284198599;1.3
470;0.142654282;0.059719971;0.024612641;0.04410115;0.258036393;1.3
471;0.146365625;0.056514897;0.020422629;0.033051264;0.291807061;1.3
472;0.14004895;0.063416674;0.028535187;0.053924761;0.228093864;1.3
473;0.142914693;0.060837486;0.024983727;0.045104667;0.247721027;1.3
474;0.137938854;0.056624935;0.022081735;0.040716766;0.251204144;1.3
475;0.146946463;0.057963934;0.020673569;0.033830369;0.286485302;1.3
476;0.148588262;0.063264864;0.027066861;0.050650999;0.262603059;1.3
477;0.145077984;0.055729314;0.019014913;0.032937489;0.298519977;1.3
478;0.142068709;0.055726995;0.020212676;0.034969763;0.278907977;1.3
479;0.140052144;0.053712167;0.020191824;0.03479722;0.287219046;1.3
0;NULL;NULL;NULL;NULL;NULL;1.4
1;NULL;NULL;NULL;NULL;NULL;1.4
2;NULL;NULL;NULL;NULL;NULL;1.4
3;NULL;NULL;NULL;NULL;NULL;1.4
4;NULL;NULL;NULL;NULL;NULL;1.4
5;NULL;NULL;NULL;NULL;NULL;1.4
6;NULL;NULL;NULL;NULL;NULL;1.4
7;NULL;NULL;NULL;NULL;NULL;1.4
8;0.19811015;NULL;0.030586226;0.090780816;0.303872978;1.4
