"","plot","NDRE1","NDRE2","NDRE3","NDRE4","NDVI5","NDRE6","NDRE7"
"163",8163,0.109053751048174,0.202294329102948,0.174666788289801,0.297800454383724,0.319184482523929,0.206980236687981,0.161192915491749
"164",8164,0.0884421038075455,0.131937085098524,0.0572288980653291,0.190176614236696,0.254617088870589,0.208279702106202,0.181690055616369
"165",8165,0.0538986314202433,0.148397687552082,0.0934354800266812,0.22545116786506,0.292968368677411,0.225086143695159,0.17817304679641
"166",8166,0.0438760619238834,0.179508821072692,0.136614642970353,0.284495382579782,0.335010806633342,0.248176517255437,0.157738316348986
"167",8167,0.0880515668975517,0.193676153437593,0.154089912363467,0.286290775671515,0.32360274559837,0.215184647732106,0.151984864888305
"168",8168,0.117931843733382,0.208590678946774,0.188463644594187,0.324386218892023,0.357849693865102,0.238134573005014,0.152910351596909
"169",8169,0.0955353678334176,0.173156759613726,0.13183340059035,0.273612967571051,0.323277852433666,0.220472837187973,0.154033711827201
"170",8170,0.110881152068729,0.194487511817515,0.165706067229007,0.307995570951436,0.345584442474669,0.238670935937007,0.147236480037372
"171",8171,0.114611538897368,0.203103357479363,0.180913144440153,0.321760887950894,0.347383765750895,0.233717259987338,0.151170686376955
"172",8172,0.100070229607897,0.179280180841098,0.140973188737101,0.305236430339612,0.344003796751858,0.256699579250526,0.183270565127613
"173",8173,0.0987024052567911,0.175475055263826,0.138839251619209,0.282511051552503,0.324550648201654,0.223587027858241,0.165174079208014
"174",8174,0.101369015156663,0.19081415343404,0.173226071530104,0.324625040385787,0.360547897687398,0.227939682554289,0.150845909430653
"175",8175,0.119733321290859,0.224892278104726,0.200577134860941,0.331073062280512,0.344968627524997,0.205866591772742,0.142720842162467
"176",8176,0.0747737043668792,0.134961131205383,0.0611144428135742,0.215828382318704,0.291423076573204,0.217228189402261,0.159350548513706
"177",8177,0.0854700188151989,0.157908685306548,0.110287389857,0.268342302202629,0.314504236324715,0.228782584096125,0.163695510039385
"178",8178,0.0677351352903094,0.128239967894145,0.0540755630215619,0.223865450505927,0.302316459905178,0.256690586591373,0.173457377727997
"179",8179,0.10587043517228,0.202387361404434,0.179569514697845,0.313651920888204,0.339762873502807,0.226136023959726,0.156268989164814
"180",8180,0.0891149696696279,0.171208396262008,0.134426098163873,0.295922996452289,0.34076521845274,0.229788925867614,0.155325240771979
"181",8181,0.106440149028258,0.206859324141617,0.182876580267061,0.319241324623195,0.345385145907248,0.223784795776435,0.157161932751041
"182",8182,0.0907258254511619,0.174838039552351,0.139926227813693,0.304018202371785,0.35181728395236,0.246318313927163,0.16267375170346
"183",8183,0.105255675975491,0.200585546319907,0.178975956815614,0.324516826600753,0.349163617432889,0.224771058348613,0.149764971390721
"184",8184,0.104957531257235,0.202751811218312,0.186530761403505,0.344021372657343,0.36167148298385,0.237286683069231,0.140612287670474
"185",8185,0.114955173959528,0.22037541392116,0.205650245590119,0.322844567347341,0.337964493156887,0.242464410211916,0.152645852861341
"186",8186,0.106775570618925,0.205991882821051,0.187219853309876,0.319282235293724,0.328364976709778,0.220444183645214,0.152489588140552
"187",8187,0.0901786598631415,0.183473059997121,0.154406671549867,0.303590784731978,0.328612430655849,0.229887787413914,0.136317917899068
"188",8188,0.0728488743687193,0.14877852598844,0.0862994781935578,0.260250435929393,0.317118665018606,0.23672538969561,0.155233417653017
"189",8189,0.0915444051561704,0.187326751565477,0.160263964991381,0.306355510382376,0.331363210776632,0.220189330860303,0.137673405583235
"190",8190,0.102551571775087,0.206617082273827,0.195574395918474,0.309058382845397,0.330178472140942,0.226032112571484,0.129242582905749
"191",8191,0.0734963643451049,0.158114683368061,0.102773769538842,0.238582720758796,0.283885293715038,0.184660893513493,0.137582064110706
"192",8192,0.0859085305066999,0.181982753486785,0.158541967933671,0.293357772392655,0.309503534240809,0.209372620798374,0.13223269390705
"193",8193,0.0575477261199544,0.1208205460356,0.0342419448510918,0.178215968749059,0.243847106105444,0.195741613807989,0.152392791905332
"194",8194,0.0720021200202316,0.147366602475587,0.0908986555127421,0.227941009777346,0.283106055140818,0.191733984343854,0.140501818361517
"195",8195,0.0973723343185853,0.190286904590852,0.158461119474982,0.283954993124375,0.315748455137432,0.218476660687396,0.140543596178622
"196",8196,0.0909321630214317,0.176551538324871,0.145212358257054,0.264914168280685,0.291616686284174,0.1679176750244,0.129413925422451
"197",8197,0.0968655752089797,0.182545937143164,0.148248020666592,0.274627252943504,0.2978532518264,0.164414432486606,0.138914361770887
"198",8198,0.114270915211866,0.214409030051547,0.207617607285306,0.304708932421711,0.320535547217908,0.19222075685152,0.138424069368193
"199",8199,0.0786338582079379,0.134746661022655,0.0643557854298772,0.211824630471466,0.272696197973754,0.197028948350982,0.150442642374068
"200",8200,0.112942785892678,0.19992524242301,0.185347877587671,0.297852726369642,0.316072244785772,0.207960640386859,0.152356982851265
"201",8201,0.121752481840717,0.220410410028525,0.205925460399978,0.315915151654871,0.332354205987094,0.222508045319627,0.144997978448239
"202",8202,0.11330980017581,0.205942746023299,0.182042322445421,0.300374039975282,0.320806110407113,0.217921525280429,0.155365296752006
"203",8203,0.0789188184764508,0.139067924951649,0.0689976630945677,0.216396001837858,0.278087765729206,0.223210865976174,0.157542715090117
"204",8204,0.0964284864839326,0.173036583249842,0.122435807825194,0.251995838176565,0.298122929846292,0.201865798871196,0.141803276283285
"205",8205,0.0954124842454353,0.172276514857313,0.123783215713139,0.240394420109743,0.274470214102853,0.175887788546112,0.138064694827695
"206",8206,0.112303596943867,0.212030938745025,0.176762663895902,0.276070783998799,0.286974334022571,0.185727982796093,0.140754985685134
"207",8207,0.109941235419924,0.206074970955629,0.170455559096056,0.265636980650742,0.282976623572673,0.191056703526971,0.144991997807997
"208",8208,0.137669563699778,0.247757054827838,0.22008230087335,0.290601309294344,0.287567433427525,0.19407509377851,0.152116927482679
"209",8209,0.117388372173537,0.2220993451686,0.174721213498129,0.261874780393767,0.275123521732856,0.188947014209183,0.139878266974348
"210",8210,0.122248800647445,0.236700951479356,0.202315934277211,0.284104543451209,0.281701711118914,0.173253661708142,0.134831112350506
"211",8211,0.112399332725393,0.215259767882038,0.16787691377161,0.279344882029878,0.292687623901558,0.196884497040404,0.138182248593456
"212",8212,0.0973919888105629,0.185988843249854,0.123584769925698,0.232503432491088,0.262496669396734,0.181523156734252,0.139693212368746
"213",8213,0.116379683223258,0.207685924184461,0.144217579681718,0.275924640122955,0.280056464802964,0.181451283942727,0.144174215209505
"214",8214,0.137923239398228,0.248736123634817,0.192475627573469,0.316787033592493,0.286425944298881,0.156864235743647,0.13883486786279
"215",8215,0.136743325296685,0.246647958897902,0.205093557434976,0.324316085518383,0.283305773953129,0.155295520435947,0.134215145870353
"216",8216,0.156303701449046,0.276323756851661,0.24124710606736,0.344531970172642,0.315982283068371,0.193561057569536,0.160132677954239
"217",8217,0.0981461563830633,0.197592598184576,0.131312570488216,0.249348770617442,0.270672309721738,0.20164454289377,0.133206029082891
"218",8218,0.130205511511465,0.255822602902234,0.211377785794031,0.294202832828935,0.266855670548719,0.177290650964768,0.145163953001084
"219",8219,0.130013853428707,0.249251619507811,0.201232321657134,0.278714681033034,0.276287208432689,0.199517740982383,0.137112627484686
"220",8220,0.144669739954155,0.275232065434874,0.232951421349104,0.294345476383373,0.286771891750475,0.203230276957475,0.136197155211058
"221",8221,0.108874289597497,0.208719733343663,0.160530624755457,0.245400719475236,0.252452948881388,0.174114266684909,0.133049314377406
"222",8222,0.125074021059311,0.230286362911938,0.196739874504574,0.278675415466762,0.275796754513266,0.165147454273916,0.141780151925474
"223",8223,0.142195389868991,0.256611090155275,0.225305213062749,0.307415303707153,0.295045852039764,0.172724900050696,0.141188997325337
"224",8224,0.12190339339708,0.221199753832018,0.188802724166846,0.301811628569106,0.310226527903309,0.204698048790089,0.120987123490789
"225",8225,0.136195340331333,0.245367252790274,0.217325916027403,0.313887238763802,0.302144070484704,0.174800659726144,0.13462959461824
"226",8226,0.131229648806609,0.23952811624145,0.203501994445149,0.298647431562592,0.303470041544996,0.198222355566463,0.134285985817384
"227",8227,0.131466990811043,0.241187392019042,0.217867957674805,0.324934878754253,0.324159148230769,0.207654711183136,0.13903342996251
"228",8228,0.125303908723868,0.226413660932843,0.191811104184448,0.32157515446321,0.331560822397271,0.217900826501199,0.135560997109585
"229",8229,0.131564328464369,0.239825813078696,0.214938155207062,0.34089803075384,0.334855768693871,0.215650402532967,0.139707426827448
"230",8230,0.0821054338253663,0.159292455628863,0.0964416611582253,0.244021552827858,0.287257675474265,0.19033741573252,0.125100739023427
"231",8231,0.090210441837707,0.168066520341265,0.106648448126764,0.245473353771108,0.289552888791151,0.194646799499459,0.136817932702778
"232",8232,0.11139592697559,0.203694555210029,0.16313614360632,0.288291957434655,0.308793859446787,0.207288533549819,0.128562866741895
"233",8233,0.0842536663297673,0.156496829806274,0.0872226166125207,0.223024176774882,0.27529094907307,0.205995892394444,0.13253604860397
"234",8234,0.0915168489400605,0.173425605744901,0.123108709084948,0.261248586961052,0.297022534707856,0.1975074049245,0.122414857407745
"235",8235,0.117143075897861,0.210388957241209,0.174707224276786,0.304892434535224,0.31927554248081,0.222443888505587,0.139872937395248
"236",8236,0.118430506766512,0.219677449208958,0.18032114704023,0.310662867618009,0.312645558860014,0.190315024085987,0.133780738302074
"237",8237,0.114466138460275,0.206866577999628,0.165494793112954,0.293786017611136,0.300553895980074,0.195316093509318,0.159774011997363
"238",8238,0.11402490449612,0.207507173684754,0.165359783872818,0.304318681403639,0.304991452152905,0.2034196863614,0.138443676781947
"239",8239,0.127077362791603,0.232208337874,0.210681140587101,0.347449878855126,0.350450886936208,0.242057176078985,0.132625434462017
"240",8240,0.135909479199072,0.241474742554293,0.214995864534993,0.339138304728494,0.343657036638986,0.225186217772111,0.155141104632843
"241",8241,0.0928503675868012,0.168016716991214,0.116073435025527,0.276509671614144,0.321912442714715,0.239281369127984,0.16400860727987
"242",8242,0.132237215104267,0.232737835600664,0.20032627313481,0.331021113515134,0.339099944460971,0.213129433037091,0.164156561453131
"243",8243,0.126450007535722,0.22354889049788,0.193130502677557,0.341389738368083,0.351508104961731,0.253726054821702,0.158845275157729
"244",8244,0.135736792871278,0.241459913891102,0.220347982448636,0.349600183057692,0.359968023954674,0.245540776196054,0.154062844561458
"245",8245,0.135270636154023,0.233997017604836,0.201191525904265,0.336660446365615,0.361716532471809,0.242028973668873,0.158130940643756
"246",8246,0.137488684641637,0.244212186807302,0.21120966046602,0.339084265425785,0.356735399959002,0.223450209935999,0.156584114616306
"247",8247,0.132923149186364,0.234103072669709,0.207585510859299,0.339658103287448,0.356939391544073,0.233107166203642,0.156705664146955
"248",8248,0.125485605869091,0.229863922255318,0.19567936533296,0.330029066486369,0.347464582123775,0.222093368677896,0.141487680779231
"249",8249,0.149516399891626,0.26193123249128,0.239420323248018,0.369449084343681,0.355411630487591,0.202613046258048,0.145758986452757
"250",8250,0.10584760492221,0.189278883289856,0.141513676940989,0.290220296402711,0.324698357543478,0.225944260665283,0.150437845747766
"251",8251,0.148523596554232,0.259834508566552,0.237228749362332,0.361660929677605,0.353857680259089,0.224558902928561,0.166458652721764
"252",8252,0.132660505505137,0.234955341515799,0.206850058681427,0.352886758409465,0.353187542470661,0.222753387213983,0.169712151222425
"253",8253,0.155165818747101,0.26473753567078,0.240688950098635,0.359255313348761,0.352589741716779,0.220178853204645,0.153661630293838
"254",8254,0.159739318844825,0.272449137311037,0.241382277303067,0.349173360746802,0.301462731147955,0.173149523973372,0.181736674066292
"255",8255,0.141367760826782,0.23976820018669,0.205512916670402,0.342872100290077,0.332108272739517,0.210644765074575,0.180129228296542
"256",8256,0.169945725961032,0.293771302030268,0.278256272946691,0.383065205261936,0.351091627184777,0.202490515019259,0.159935109604277
"257",8257,0.130571739159375,0.221700402050656,0.182452525232906,0.333305831137978,0.35669109528344,0.237318366621982,0.159036734856679
"258",8258,0.13887914159539,0.247211309260655,0.217282579201707,0.358568662118167,0.357965707536808,0.212127279133772,0.165833566656631
"259",8259,0.162241978042298,0.280905936505546,0.268483213719113,0.392666516114688,0.349554532018213,0.246192573713724,0.162628786803779
"260",8260,0.123383912333588,0.220552355222061,0.174331645261509,0.317133926299371,0.335093228178219,0.226687379562632,0.165778365547214
"261",8261,0.124836252036208,0.219755997989851,0.195144958912201,0.338578255347944,0.373979965846746,0.262093007595279,0.137007217704173
"262",8262,0.135905234732248,0.242270260591527,0.232864071997597,0.355370201261471,0.366555421490852,0.23915007044001,0.172839796341822
"263",8263,0.109270569642332,0.204574899385906,0.174239711695218,0.30513653834076,0.322490128992155,0.211257310479225,0.161589231573479
"264",8264,0.1016114459593,0.20143244748263,0.162225330961507,0.283539998646042,0.309113650972638,0.209856377516047,0.154652983324927
"265",8265,0.110768905538405,0.217795450880708,0.189634655089221,0.307366142641986,0.313521659760824,0.188683662431577,0.151613398875514
"266",8266,0.159351829090514,0.265383460889251,0.225111686865143,0.361761249372796,0.327776790208392,0.177308282580435,0.163503676342818
"267",8267,0.176329174569653,0.301786272452216,0.272290795053601,0.385757852912625,0.349254360767609,0.175104739349397,0.175742049750757
"268",8268,0.133952117890791,0.240356479066537,0.229332003323168,0.37108362540751,0.360699695889478,0.224553562525206,0.154352788751233
"269",8269,0.182024828388834,0.307890086216017,0.298848176852728,0.40088516388191,0.336011068146235,0.183849739846934,0.178466280746418
"270",8270,0.145784628985775,0.240635994840327,0.210081698975515,0.337559758627786,0.327277979118461,0.199750760436418,0.183089220355244
