"","plot","NDVI1","NDVI2","NDVI3","NDVI4","NDVI5","NDVI6"
"204",7204,0.339599578088428,0.461194564869328,0.410830400986131,0.539442757341307,0.528733255378693,0.303627695816035
"205",7205,0.33482477992556,0.478242936050333,0.434311153142824,0.535474955243306,0.527932871804104,0.288919133750494
"206",7206,0.345465444628255,0.511251611322459,0.492764729736703,0.579601290268842,0.509444890475847,0.26552245028046
"207",7207,0.271959630949584,0.421785581628189,0.451607909275648,0.555348276008513,0.55116375246639,0.28955943813518
"208",7208,0.336635501577381,0.523105390138288,0.555801209525124,0.65042911287779,0.628125178706552,0.297404676930429
"209",7209,0.314547515052217,0.518700770384023,0.533295845905202,0.609297532359741,0.601561748080235,0.303504117845714
"210",7210,0.384707492881627,0.579064130929327,0.556942348887397,0.655576634204839,0.632176479848904,0.298178742835871
"211",7211,0.320489401495395,0.487812385388281,0.44658839530622,0.568138303327116,0.549358800653488,0.329864371898231
"212",7212,0.314610107774913,0.488027239231218,0.510926553478596,0.612755005337065,0.559266895135242,0.336096162842922
"213",7213,0.369682138748029,0.559748942331312,0.542803627806903,0.634771772442873,0.549975040271006,0.262668306613245
"214",7214,0.24515876843782,0.364630500491472,0.401851758875154,0.510633467617659,0.511200146158693,0.309603685904293
"215",7215,0.351820668648724,0.567172356114467,0.564458336243746,0.660142445396703,0.610869007208661,0.298970693344209
"216",7216,0.331778173086928,0.543156174526292,0.534657422901667,0.621577460026696,0.570326708519428,0.279967384494321
"217",7217,0.291278219803664,0.41571737980592,0.419885776331349,0.526525604929906,0.530330519727347,0.29681018197023
"218",7218,0.31379241294961,0.483084637788964,0.470664256431697,0.539277196169822,0.496552186263407,0.303454765140278
"219",7219,0.30715150669453,0.493689136296236,0.491722198765622,0.571640859072768,0.541607197279249,0.33856866518793
"220",7220,0.394913833022443,0.595425959207733,0.591017314919875,0.645351563828398,0.606055175813715,0.321864126759847
"221",7221,0.267445991116731,0.408473688211487,0.456660214997405,0.575772855131829,0.55341032882002,0.330995469765016
"222",7222,0.380922051324089,0.548275547382583,0.535262680096352,0.650729377232737,0.559438874157366,0.30246283899896
"223",7223,0.401904119754637,0.619892095190426,0.604192327440951,0.67427654280036,0.591949321629589,0.308271987569139
"224",7224,0.387353017335919,0.588607366319438,0.559452199310231,0.633979397663358,0.553004965573651,0.310931524068691
"225",7225,0.346648030209389,0.531740726258288,0.509302332007609,0.61583847932547,0.528568015028452,0.301690377395137
"226",7226,0.449732545708984,0.628815720117472,0.612951181346677,0.690960143730472,0.541586697518098,0.301182278966252
"227",7227,0.433630626005858,0.651854900659685,0.640121470846328,0.731060553579075,0.589581679296319,0.321371367550348
"228",7228,0.434867048361807,0.628661089302707,0.624416896623214,0.699735355790414,0.615675971050547,0.314207878989963
"229",7229,0.379775899548741,0.598930054234906,0.615780604092954,0.712176310084886,0.64524169161755,0.323428186022767
"230",7230,0.43155761857552,0.676455268447774,0.711641468431841,0.771333066316574,0.709049741531027,0.360831359112613
"231",7231,0.426054733291594,0.65147451643584,0.666323249988754,0.740028941861245,0.635078279900787,0.300093571548751
"232",7232,0.412786883358585,0.623060686268571,0.617613728758974,0.701753631106401,0.624152192234733,0.314845098377854
"233",7233,0.394696806972055,0.622151138294588,0.628059758752404,0.697766791427272,0.620646376164941,0.316233029164184
"234",7234,0.326091757178682,0.557588411573721,0.542010802888131,0.629184887768079,0.559394001615342,0.315579259830962
"235",7235,0.283510296057447,0.449794355131458,0.465572622121324,0.58671277479338,0.588275706784509,0.324705502607243
"236",7236,0.374988698737892,0.562314880528202,0.535630296101689,0.624351947982358,0.566163759320293,0.287577662356978
"237",7237,0.318953024615946,0.485530764442434,0.494727312614274,0.577229338076593,0.521603501530386,0.306219472854514
"238",7238,0.254424515866176,0.410496126263994,0.432616666443676,0.518465793310887,0.531121234212479,0.344413419205186
"239",7239,0.302133472484307,0.422600945937632,0.3986001151016,0.49547674971785,0.502293101606002,0.341030811309612
"240",7240,0.280160746314013,0.394814858855046,0.389782428748767,0.455447764387684,0.460238352402162,0.302641711406732
"241",7241,0.237441970384142,0.314872144388991,0.33097862309084,0.440149368933008,0.490562665056111,0.317415598098205
"242",7242,0.291670343893322,0.410303187941928,0.406364064157274,0.485846907824816,0.530001460808198,0.306091347301748
"243",7243,0.255931436186811,0.347352631220321,0.347873821726201,0.431533907396553,0.451650481524349,0.307620687301886
"244",7244,0.25828989081183,0.324281691823387,0.294121098972524,0.408916910677082,0.461722324322118,0.320331382370092
"245",7245,0.297647239791735,0.386818248354138,0.368594235402445,0.47452664268363,0.460479977526719,0.297617098543721
"246",7246,0.266814293064803,0.377013650081586,0.395476707605579,0.482973307142837,0.492163751848344,0.311504077764506
"247",7247,0.298822847851412,0.426972962390026,0.413959659613822,0.508233033801993,0.475151170823568,0.300034864784918
"248",7248,0.29548744816404,0.429139369662303,0.415840044558586,0.519752319273824,0.562647422609878,0.343832053457276
"249",7249,0.330726656044998,0.473166455533877,0.453060179777079,0.553382251871967,0.536968833466532,0.300797862152073
"250",7250,0.261257701896891,0.35811104441384,0.319629339319721,0.453634319237425,0.508461099818116,0.33167952477837
"251",7251,0.309844164343372,0.437075913976535,0.405196582503967,0.525494791476731,0.546242483237572,0.357007057265384
"252",7252,0.355717097806292,0.520881598062079,0.494599704283179,0.6213572832052,0.580498471516745,0.346904807084791
"253",7253,0.279980042386306,0.414269508292997,0.409347166191903,0.500574361430205,0.450650070888857,0.331548434994489
"254",7254,0.334070806818344,0.488711426485334,0.493010013537388,0.579637991427997,0.524798217015986,0.326779906168428
"255",7255,0.277986235366424,0.395570574987227,0.393712378877817,0.469947990049613,0.49849395590818,0.343213780175588
"256",7256,0.25735315476951,0.330580363157786,0.332300747881145,0.424148304582294,0.442822889616022,0.315864902803598
"257",7257,0.315077345620249,0.438955062425289,0.428450553691618,0.509758316691301,0.499789996987977,0.301142662181443
"258",7258,0.320379042953534,0.441612139778142,0.42438669795561,0.507832536033937,0.522787389137445,0.317658951411827
"259",7259,0.311398865179197,0.433985344458138,0.408484740431368,0.48851098392241,0.466152475739544,0.283740314792284
"260",7260,0.226637755856306,0.278327138357817,0.263794672603921,0.354890725040084,0.405587698088957,0.327447611481249
"261",7261,0.292247882425183,0.416360113320545,0.404213416345895,0.470668435624153,0.486253818280413,0.340674946592413
"262",7262,0.25028260888414,0.341376667007285,0.349221617349003,0.432167616453796,0.495213467592843,0.377506768606782
"263",7263,0.243334234404156,0.321129610311136,0.316240648316764,0.388599021514569,0.421439572996095,0.322520845191822
"264",7264,0.223786477316655,0.276829105367252,0.274058415014622,0.341210557598321,0.406891223417942,0.318122698063665
"265",7265,0.216775608996387,0.244005265072216,0.200047153564924,0.263844793694052,0.350780430415574,0.329088998903112
"266",7266,0.239925684554739,0.306149625012157,0.289726646541924,0.338375422612957,0.359045961804425,0.332856511574812
"267",7267,0.269240028376574,0.380833497883816,0.411106021683184,0.465318301981027,0.425883581950183,0.371839281582234
"268",7268,0.262532231629261,0.338094698781203,0.309845989193867,0.405299162688821,0.464840281611897,0.370249563724198
"269",7269,0.331397955375026,0.466238270988528,0.43423144742962,0.502323665747263,0.510761290530289,0.321011715155895
"270",7270,0.3027019450276,0.461241939651696,0.461656678505884,0.500484610392558,0.504533643286302,0.3309733921481
"271",7271,0.243895450987485,0.364369782809086,0.370646557604241,0.426255877882818,0.465229297329864,0.323560835117299
"272",7272,0.353154747370233,0.508258902935113,0.48629348450651,0.529557349970223,0.545716814947873,0.327148683155384
"273",7273,0.315684297609847,0.445000265180417,0.416412843591597,0.484944807885135,0.458582225018374,0.349697264839975
"274",7274,0.2955846689775,0.421179941720817,0.402047703483339,0.470184875529992,0.469243370172401,0.316388486393931
"275",7275,0.279222469429892,0.396158490509534,0.375797093679236,0.443910903655276,0.429559866141176,0.330376083378042
"276",7276,0.274059436016306,0.435953251731087,0.47309010701809,0.51977244233412,0.558354757382219,0.359228048846101
"277",7277,0.267239966472579,0.384133614978254,0.377981147414492,0.443785522524295,0.483361890126852,0.390281475423219
"278",7278,0.27743409778342,0.401677063985878,0.368763730651676,0.439449642413062,0.445341464943197,0.366034601576866
"279",7279,0.276240211709029,0.37464617777547,0.331221324467435,0.41068502130016,0.438326193768822,0.340678324168243
"280",7280,0.241291174204235,0.312198068491654,0.277023483445245,0.342817811786058,0.365493584646269,0.313727149801105
"281",7281,0.230898238008747,0.300305535806319,0.273561132232767,0.339048698454639,0.369882289072612,0.311875554266416
"282",7282,0.282461020767585,0.397806712151972,0.354997870867636,0.405195381935326,0.405597767510189,0.294519928857327
"283",7283,0.272181672914251,0.364380503943682,0.331918884787606,0.390163040188067,0.429962902300338,0.319149843374691
"284",7284,0.226741022405784,0.314017784439699,0.301562314514015,0.365755518597945,0.396052869586081,0.318896984771334
"285",7285,0.282568656720039,0.404234855450002,0.370364190330219,0.43650329734909,0.422178585957092,0.308488136595762
"286",7286,0.297721092188639,0.426485772711409,0.404990661108815,0.472327029311174,0.44275861141159,0.335711585503805
"287",7287,0.200360165791819,0.275607690154559,0.261029309428308,0.318459353026146,0.3732821016327,0.333139748391774
"288",7288,0.277908649172032,0.438033564023922,0.441581327430282,0.486403787881333,0.444527167302716,0.317823244390841
"289",7289,0.23126647181995,0.299005277027016,0.272973219029678,0.354473928337117,0.437173543063371,0.308264210809969
"290",7290,0.278790840348822,0.435139311151347,0.405032171638716,0.469472118345198,0.456644194402706,0.267280037127642
"291",7291,0.201744523856954,0.262415476230628,0.276185755514269,0.363639410386154,0.421367955598653,0.284634751098939
"292",7292,0.247305981758849,0.360499845783524,0.364954279613994,0.456569255493099,0.468674864409536,0.278567422839197
"293",7293,0.236918429746042,0.329985532695641,0.339626671711124,0.42119408244448,0.444302512594454,0.298951590047415
"294",7294,0.22509200695842,0.299826737110167,0.313578258094464,0.405743245416131,0.4163938447659,0.302155789589371
"295",7295,0.196091892201722,0.235052054476022,0.247247998494476,0.35340508221159,0.419625623706794,0.294460471795883
"296",7296,0.283999994722603,0.37664179282058,0.358933127969508,0.432789316157814,0.45327424764778,0.287425195517982
"297",7297,0.218277704570337,0.298714883160285,0.313128331124344,0.388277440179917,0.428326533501039,0.303314660343756
"298",7298,0.21180987115836,0.283762375525214,0.294864423407509,0.374557431977445,0.410075115275698,0.295096698327102
"299",7299,0.265237637278015,0.365286311315421,0.328944676663137,0.411137290428514,0.461098349021245,0.28420849071366
"300",7300,0.263652806770544,0.35915393410257,0.341193130891211,0.436162822106085,0.460065852280096,0.284237903659749
"301",7301,0.251090145235243,0.329205130201189,0.294134941387969,0.418998005845615,0.419444195703891,0.29587332292378
"302",7302,0.26446959812746,0.367395700591332,0.368223704574969,0.475918676317208,0.439319300599423,0.278160185247559
"303",7303,0.321992794985182,0.394867624247519,0.370607050862083,0.466282206844953,0.436432984258522,0.294539207276411
"304",7304,0.268667437161478,0.391984847744808,0.358694141650184,0.444479546143917,0.442752606442144,0.273515031505932
"305",7305,0.357781622275025,0.515748675805985,0.496505359548142,0.573376899921476,0.518242992069781,0.262657305793697
"306",7306,0.292186823012133,0.448548198530594,0.422490520183342,0.525427011055748,0.459860841440773,0.264355523093564
"307",7307,0.351359355386036,0.548883571820045,0.531472938940895,0.62990056115444,0.567018681041744,0.267925134251423
"308",7308,0.2620089526259,0.420575062499836,0.412369842059088,0.493846644768378,0.47262754474693,0.281476797173403
"309",7309,0.27866191362896,0.422679592996028,0.415698425599909,0.489223979138392,0.484263703191604,0.278970052857338
"310",7310,0.29971289065688,0.420920621681157,0.387200353952361,0.48268866229907,0.464578069902115,0.300701854171945
"311",7311,0.401294312631331,0.575429859538572,0.538928694017619,0.628161694615744,0.560214586306204,0.273678398347754
"312",7312,0.371527536619059,0.554566873144592,0.537334462391961,0.659388891949985,0.572927638972222,0.312214063931951
"313",7313,0.41553269135199,0.649671149240758,0.687691491887316,0.762896278570763,0.676748813333084,0.306614030704724
