Env;m;MeanCorr;SDCorr
HELF24;Model_0158;0.32;0.08
HELF24;Model_0313;0.32;0.08
HELF24;Model_0043;0.32;0.09
HELF24;Model_0198;0.32;0.09
HELF24;Model_0076;0.32;0.08
HELF24;Model_0231;0.32;0.08
HELF24;Model_0059;0.32;0.10
HELF24;Model_0214;0.32;0.10
HELF24;Model_0129;0.32;0.08
HELF24;Model_0284;0.32;0.08
HELF24;Model_0063;0.32;0.11
HELF24;Model_0218;0.32;0.11
HELF24;Model_0096;0.32;0.08
HELF24;Model_0251;0.32;0.08
HELF24;Model_0097;0.32;0.08
HELF24;Model_0252;0.32;0.08
HELF24;Model_0052;0.32;0.11
HELF24;Model_0207;0.32;0.11
HELF24;Model_0157;0.32;0.08
HELF24;Model_0312;0.32;0.08
HELF24;Model_0075;0.32;0.08
HELF24;Model_0230;0.32;0.08
HELF24;Model_0104;0.32;0.08
HELF24;Model_0259;0.32;0.08
HELF24;Model_0003;0.32;0.11
HELF24;Model_0008;0.32;0.11
HELF24;Model_0033;0.32;0.10
HELF24;Model_0188;0.32;0.10
HELF24;Model_0103;0.32;0.08
HELF24;Model_0258;0.32;0.08
HELF24;Model_0029;0.32;0.10
HELF24;Model_0184;0.32;0.10
HELF24;Model_0027;0.32;0.10
HELF24;Model_0182;0.32;0.10
HELF24;Model_0022;0.32;0.11
HELF24;Model_0177;0.32;0.11
HELF24;Model_0042;0.32;0.10
HELF24;Model_0197;0.32;0.10
HELF24;Model_0026;0.32;0.10
HELF24;Model_0181;0.32;0.10
HELF24;Model_0041;0.32;0.10
HELF24;Model_0196;0.32;0.10
HELF24;Model_0002;0.32;0.11
HELF24;Model_0007;0.32;0.11
HELF24;Model_0025;0.32;0.10
HELF24;Model_0180;0.32;0.10
HELF24;Model_0040;0.32;0.10
HELF24;Model_0195;0.32;0.10
HELF24;Model_0001;0.31;0.12
HELF24;Model_0006;0.31;0.12
KET21;Model_0035;0.17;0.06
KET21;Model_0190;0.17;0.06
KET21;Model_0031;0.17;0.06
KET21;Model_0186;0.17;0.06
KET21;Model_0034;0.17;0.06
KET21;Model_0189;0.17;0.06
KET21;Model_0050;0.17;0.06
KET21;Model_0205;0.17;0.06
KET21;Model_0030;0.17;0.06
KET21;Model_0185;0.17;0.06
KET21;Model_0032;0.17;0.06
KET21;Model_0187;0.17;0.06
KET21;Model_0046;0.17;0.06
KET21;Model_0201;0.17;0.06
KET21;Model_0047;0.17;0.06
KET21;Model_0202;0.17;0.06
KET21;Model_0049;0.17;0.06
KET21;Model_0204;0.17;0.06
KET21;Model_0028;0.17;0.06
KET21;Model_0183;0.17;0.06
KET21;Model_0045;0.17;0.06
KET21;Model_0200;0.17;0.06
KET21;Model_0043;0.17;0.06
KET21;Model_0198;0.17;0.06
